"","SPY213513","SPY213520","SPY213515","SPY213512","SPY213516","SPY213514","SPY213517","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY213523","SPY213525","SPY213518","SPY213521","SPY213522"
"Anguilla sp.",1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
"Conger conger",0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
"Muraena helena",0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"Atherina boyeri",0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
"Belone belone",0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1
"Aidablennius sphynx",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"Lipophrys trigloides",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
"Parablennius gattorugine",0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1
"Parablennius incognitus",0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0
"Parablennius pilicornis",0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
"Parablennius sp.",1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1
"Salaria pavo",1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1
"Tripterygion delaisi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tripterygion melanurum",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tripterygion tripteronotum",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Seriola dumerili",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"Trachurus sp.",0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Alosa sp.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
"Sardina pilchardus",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"Sardinella aurita",0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
"Sprattus sprattus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"Engraulis encrasicolus",0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
"Engraulis sp.",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
"Rutilus rutilus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Gambusia holbrooki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Merlangius merlangus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Trisopterus capelanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Gaidropsarus mediterraneus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Merluccius merluccius",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aphia minuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Gobius ater",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
"Gobius bucchichi",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"Gobius cobitis",1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
"Gobius cruentatus",0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0
"Gobius niger",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Gobius xanthocephalus",0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
"Millerigobius macrocephalus",0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
"Odondebuenia balearica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pomatoschistus minutus",1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"Zebrus zebrus",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
