,SPY213513,SPY213520,SPY213515,SPY213512,SPY213516,SPY213514,SPY213517,SPY202505,SPY202519,SPY202520,SPY213519,SPY213527,SPY213523,SPY213525,SPY213518,SPY213521,SPY213522
Anguilla sp.,533,,,,,25,84,218,,107,,,,,,14,13
Conger conger,,,234,,,160,197,1183,1840,1602,251,,492,1448,2476,769,2265
Muraena helena,,,847,,,77,219,,,,980,,,,,,
Atherina boyeri,,,,,,,,233,,77,,,,16,1700,5331,3121
Belone belone,,132,90,,,33,,1920,1943,2800,,,113,29,53,16,65
Aidablennius sphynx,,,,,,13,,48,,46,,,,,,,
Lipophrys trigloides,,,,,,,29,41,157,,,,,,419,39,114
Parablennius gattorugine,,,,,,141,179,676,696,962,,,,,950,103,523
Parablennius incognitus,,211,1143,,96,,,110,877,324,94,,,,21,,
Parablennius pilicornis,,,81290,,,,,931,813,602,,,,,197,67,1163
Parablennius sp.,747,179,521,,1369,89,,541,323,,,,41,23,750,180,361
Salaria pavo,1436,168,58,,1024,,,204,,18,,,77,20,544,561,1690
Tripterygion delaisi,,,54,,,,,,,,,,,,,,
Tripterygion melanurum,,,279,785,416,,,,,,,,,,,,
Tripterygion tripteronotum,,34,255,,,,150,,36,,,,,,,,
Seriola dumerili,,,,,,,,,,,15,,1166,327,,,
Trachurus sp.,,252,82,,134,664,541,2110,1412,2800,123,4590,10735,11808,5601,1785,4951
Alosa sp.,,,,,,,,,,,,,424,,11511,2030,5683
Sardina pilchardus,5671,57361,146,1829,3002,1321,2115,2624,2685,2496,656,,4231,1659,6187,5125,4472
Sardinella aurita,,3290,267,,806,2712,9875,928,66,795,307,,292,132,40,,
Sprattus sprattus,,,,,,,,105,,,,,,,113,,53
Engraulis encrasicolus,,,,,825,12,,56,,,36,,33,16,,,72
Engraulis sp.,1193,197,162,,1228,159,130,1524,1190,1110,500,,99,13,1030,619,308
Rutilus rutilus,,,,,40,,,,,,,,,,24,,
Gambusia holbrooki,,,,,,,,,,,,,,,,,42
Merlangius merlangus,,,,,,,,,,,94,,,,,,
Trisopterus capelanus,,,,,,,,,,,,,,,75,,
Gaidropsarus mediterraneus,,,,,,,30,,,,,,,,,,
Merluccius merluccius,,,,11,,,,,,,,,27,,,,
Aphia minuta,,,,,,,,,,,,,,,272,2825,140
Gobius ater,144,,,,,,69,75,,,,,,,14,,15
Gobius bucchichi,348,412,30,47,21,24,201,,,,,,,33,,,
Gobius cobitis,75,,,,,,30,337,497,140,34,,,,215,12,266
Gobius cruentatus,,,301,,19,613,2903,369,4344,136,3592,,27,122,,,
Gobius niger,20100,14211,3288,29292,22374,3848,7521,3031,3275,2759,28153,16885,512,583,7008,7671,8799
Gobius xanthocephalus,,186,167,,,23,26,134,560,,130,,19,,,,
Millerigobius macrocephalus,,,162,874,,,60,,,,304,,,19,,,
Odondebuenia balearica,,,,,,,,,,,139,,,,,,
Pomatoschistus minutus,2134,,,,,,,18,,185,,,,,4549,2735,4318
Zebrus zebrus,,,155,,,50,16,,,,,,,,,,
Zosterisessor ophiocephalus,,169,,,,,44,441,413,223,,,,,,,
Istiophorus albicans,,436,280,,663,61,255,143,13,326,419,,44,,165,249,313
Xiphias gladius,,,96,,,47,,,,,2395,39376,144,65,,,
Apogon imberbis,,,,,,23,210,,,,,,,,,,
Coris julis,,,121,,,74,80,,,,418,,,32,45,,
Ctenolabrus rupestris,,,,,,,,38,192,249,,,,,97,,
Labrus sp.,,,149,,,76,207,174,238,138,,,,,97,30,48
Symphodus bailloni,,,,,,,,662,175,67,,,,,312,50,28
Symphodus ocellatus,,,151,,,103,19,,,,19,,,,,,
Symphodus sp.,,,,1115,70,70,569,1759,686,653,53,,,,81,44,90
Symphodus tinca,,,2122,14,1552,415,1134,149,2309,503,735,5287,12,30,94,,
Thalassoma pavo,,,199,,,,,,,,,,,,,,
Lophius budegassa,,,,,,,,,473,175,,,166601,198460,,,
Lophius piscatorius,,,,,,,,,,,,,58886,74462,,,
Chelon auratus,32929,43000,935,5540,10261,2513,7314,26043,22863,19085,796,,413,564,13267,4038,10447
Chelon labrosus,5099,6337,3119,7478,7559,655,1754,3293,858,374,4535,1567,568,297,19958,5335,17540
Chelon ramada,7140,9685,250,,1864,2197,6439,94023,57412,26241,24941,8048,196296,284909,158003,335516,250260
Liza sp.,643,2880,210,447,2564,137,208,1978,1446,2569,187,,16,,5008,1232,3549
Mugil sp.,,,,,,60,40,1958,1569,869,,,,,49760,79197,83131
Oedalechilus labeo,,,78,,317,107,526,,,,601,,,,,,
Myctophum punctatum,,,63,,809,,,,,,,,,,,,
Sander sp.,,,,,,,,,,,,,,,116,,48
Scorpaena notata,,,,,77,,,,,,,,,,,,
Scorpaena porcus,,465,37,,136,264,1019,1053,431,,,,369,56,333,210,276
Scorpaena scrofa,,,,,,,,,,,307,,,,,,
Anthias anthias,,,,,,,66,,,,,,,,,,
Epinephelus marginatus,,,66,,,109,87,,,14,,,,,,,
Serranus cabrilla,,,,,,,61,166,395,,,,,,,,
Serranus hepatus,,,,,,,,,,21,,,,,94,,72
Serranus scriba,,,285,390,150,82,138,,,87,169,,,,,,
Chelidonichthys lucernus,,102,,,,,,70,,51,,,43,,,112,217
Triglidae,,,,,,,,,,,,,20,,,,
Scophthalmus rhombus,,,,,,,,25,,80,,,,,,24,53
Pegusa nasuta,,,,,,,,194,123,22,,,,,,,
Solea senegalensis,455,,,,,,,122,361,23,,,,,342,109,647
Solea solea,,,,,,,,23741,1715,,,,201,,188,56,163
Salmo salar,,,62,,,,30,,,,,,,,,,
Pomatomus saltatrix,107,17,36,390,130,,61,21,,,,117,,,,,
Auxis sp.,,,,,,445,870,,,,,,,,,,
Euthynnus alletteratus,,,,,,,,,,,,,31642,10194,,,
Sarda sarda,821,801,,,,,,,,,,,1309,758,,,
Scomber colias,,,,,,201,404,,,,,,,,,,83
Scomber scombrus,,,,,,,,715,17,129,,,465,145,511,70,393
Thunnus thynnus,,,,,35,202,277,,,,559,,2800,696,561,79,222
Spicara sp.,,227,,,407,38,902,161,244,,1027,,25,,165,,
Boops boops,,954,1282,1016,4583,68269,141365,4367,1541,7790,24272,22206,2760,2932,1568,328,505
Diplodus annularis,357,1407,9939,9262,15479,3587,10290,307,1369,334,17351,6457,380,337,1324,587,1670
Diplodus puntazzo,,,127,,53,325,350,,,,4062,1393,4311,4233,342,36,38
Diplodus sargus,10221,8502,14712,18465,23355,4158,6858,7791,8914,9265,5357,1984,7573,3675,8164,2751,6343
Diplodus vulgaris,3903,7735,3797,13219,5870,5945,14194,5834,7112,5930,15101,21834,3009,1425,1737,1318,3110
Lithognathus mormyrus,31013,48894,315,2452,372,2272,5077,10898,15160,10482,3449,11540,,,,,
Oblada melanura,,437,17299,3692,2959,777,2545,399,1663,1301,866,1908,267,707,372,104,126
Pagellus acarne,,114,,,,281,822,521,633,246,2078,,1191,489,139,165,300
Pagellus bogaraveo,1017,379,170,,822,676,1453,,,15,2294,,330,137,,,
Pagellus erythrinus,,426,849,1121,2181,,,477,680,1074,408,,550,278,105,27,128
Sarpa salpa,5645,6965,13498,13170,23265,186260,448830,3264,3833,2465,276810,302154,5775,,3784,,2229
Sparidae,1196,,150,,,19,51,184,,148,909,43378,46,27,36,,
Sparus aurata,54645,72894,3566,1443,9246,6587,15092,20653,20234,22840,31824,,19543,8008,55779,13150,36658
Spondyliosoma cantharus,,,70,,59,,,46,,55,,,,,,,
Mullus barbatus,5045,7293,3522,11465,13901,1325,3471,5648,5120,7418,7855,13704,1518,776,18120,2523,9439
Mullus surmuletus,1578,724,295,248,283,546,1084,1386,1410,1135,2223,1484,92,80,1979,387,1167
Syngnathus acus,,,,,,,,56,,,,,,,,,
